tool_name,category,difficulty,quality,customization,target_user,url,image_url
Eleven Labs,음성,2,3,2,업무 사용자,https://elevenlabs.io/,eleven_labs.png
Eleven Labs,음성,2,3,0,연구자,https://elevenlabs.io/,eleven_labs.png
Eleven Labs,음성,3,3,2,학생,https://elevenlabs.io/,eleven_labs.png
Eleven Labs,음성,1,1,0,마케터,https://elevenlabs.io/,eleven_labs.png
Eleven Labs,음성,0,1,0,초보자,https://elevenlabs.io/,eleven_labs.png
Eleven Labs,음성,2,3,2,콘텐츠 전문가,https://elevenlabs.io/,eleven_labs.png
Eleven Labs,음성,3,3,3,디자이너,https://elevenlabs.io/,eleven_labs.png
Eleven Labs,음성,2,3,2,일상 사용자,https://elevenlabs.io/,eleven_labs.png
Eleven Labs,음성,3,3,3,연구자,https://elevenlabs.io/,eleven_labs.png
Eleven Labs,음성,2,3,2,업무 사용자,https://elevenlabs.io/,eleven_labs.png
Aiva,음악,1,2,1,학생,https://www.aiva.ai/,aiva.png
Aiva,음악,1,2,0,업무 사용자,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,3,연구자,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,2,마케터,https://www.aiva.ai/,aiva.png
Aiva,음악,0,1,0,초보자,https://www.aiva.ai/,aiva.png
Aiva,음악,1,2,1,콘텐츠 전문가,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,3,디자이너,https://www.aiva.ai/,aiva.png
Aiva,음악,1,2,0,일상 사용자,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,3,연구자,https://www.aiva.ai/,aiva.png
Aiva,음악,1,2,1,학생,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,3,연구자,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,2,학생,https://www.aiva.ai/,aiva.png
Aiva,음악,2,3,3,마케터,https://www.aiva.ai/,aiva.png
Aiva,음악,1,1,1,초보자,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,3,콘텐츠 전문가,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,2,디자이너,https://www.aiva.ai/,aiva.png
Aiva,음악,2,3,3,업무 사용자,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,3,일상 사용자,https://www.aiva.ai/,aiva.png
Aiva,음악,3,3,3,연구자,https://www.aiva.ai/,aiva.png
Aiva,음악,2,3,2,학생,https://www.aiva.ai/,aiva.png
Beatoven,음악,0,1,0,일상 사용자,https://www.beatoven.ai/,beatoven.png
